categoria;nome do exame;descricao;preparo;observação;tempo de retirada;valor;unidade
Ressonância magnética;Abdome total;Trata-se de exame de ressonância do abdome total (superior e pelve).;24 horas antes do exame: - Iniciar dieta (não consumir no dia: alimentos como leite e derivados, verduras cruas, bagaço de frutas, salada de folhas, frituras, feijões, grão-de-bico, mlho, lentilha,ervilha, sementes e similares). - Tomar 01 comprimido de Ducolax - Tomar Luftal de 8 em 8 horas 04 horas antes do exame: - Tomar 01 comprimido de Buscopan (Jejum absoluto de 12 horas em caso de paciente alérgico a Buscopan) - Jejum absoluto.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; Pacientes diabéticos e em uso de qualquer medicação hipoglicemiante (para controle de diabetes) injetável ou via oral: verificar junto ao médico assistente do paciente, a necessidade de suspensão ou ajuste da medicação para o período em jejum. * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água). * Caso o paciente apresente alergia a qualquer tipo de medicamento, já deve ser informar no agendamento. * Em alguns casos, será necessária a introdução de contraste via retal e/ ou vaginal (qualquer restrição deve ser informada ao técnico). * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Pélvica: deve ser realizada preferencialmente fora do período menstrual, a menos que haja solicitação médica para avaliar a paciente nessa fase do ciclo, ou seja, um caso de urgência; Mulheres com sangramento não menstrual pode fazer este exame se o médico solicitante assim desejar; Necessário apresentar resultados anteriores, se houver.";5;300;1
Ressonância magnética;Antebraço direito;Trata-se de exame de ressonância do antebraço direito. *A Angiografia por Ressonância Magnética (RM) é um grupo de técnicas baseadas em imagens de ressonância magnética (RM) para visualizar os vasos sanguíneos de imagem.*;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Antebraço Esquerdo;Trata-se de exame de ressonância do antebraço esquerdo.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Bacia;Trata-se de exame de ressonância da bacia.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Bolsa Escrotal;Trata-se de exame de resson%25C3%25A2ncia da bolsa escrotal.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Coluna Cervical;Trata-se de exame de ressonância da coluna cervical.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Coração;Trata-se de exame de ressonância do coração.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Face;Trata-se de exame de ressonância da face.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Joelho Direito;Trata-se de exame de ressonância do joelho direito.;Vir de bermuda ou shorts.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Joelho Esquerdo;Trata-se de exame de ressonância do joelho esquerdo.;Vir de bermuda ou shorts.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Pelve;Trata-se de exame de ressonância da pelve.;24 horas antes do exame: - Iniciar dieta (não consumir: alimentos como leite e derivados, verduras cruas, bagaço de frutas, salada de folhas, frituras, feijões, grão-de-bico, milho, lentilha, ervilha, sementes e similares). - Tomar comprimido de Ducolax (laxante) - Tomar luftal de 8 em 8 horas. 4 horas antes do exame: - Tomar comprimido de Buscopan (Jejum absoluto de 12 horas em caso de paciente alérgico a Buscopan (Escopolamina)).;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; Pacientes diabéticos e em uso de qualquer medicação hipoglicemiante (para controle de diabetes) injetável ou via oral: verificar junto ao médico assistente do paciente, a necessidade de suspensão ou ajuste da medicação para o período em jejum. * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água). * Caso o paciente apresente alergia a qualquer tipo de medicamento, já deve ser informado no agendamento. * Em alguns casos, será necessária a introdução de contraste via retal e/ ou vaginal (qualquer restrição deve ser informada ao técnico). * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Pélvica: deve ser realizada preferencialmente fora do período menstrual, a menos que haja solicitação médica para avaliar a paciente nessa fase do ciclo, ou seja, um caso de urgência; Mulheres com sangramento não menstrual pode fazer este exame se o médico solicitante assim desejar; Necessário apresentar resultados anteriores, se houver.";5;300;1
Ressonância magnética;Prostata;Trata-se de exame de ressonância magnética da prostota.;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RM MAMAS, ABDOME E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Pênis;Trata-se de exame de ressonância magnética do pênis.;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;Nenhuma observação disponível.;5;300;1
Ressonância magnética;Seios da Face;Trata-se de exame de ressonância magnética dos seios da face.;Não é necessário preparo para este exame.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame. * Paciente com gesso na região a ser avaliada deve solicitar ao seu médico a possibilidade de retirar o gesso, apenas no dia do exame, e a sua posterior colocação. Caso contrário, não é possível realizar o procedimento. * No dia do exame, levar todos os exames anteriores (RX, RM , TC E US).";5;300;1
Ressonância magnética;Tórax;Trata-se de exame de ressonância magnética do tórax.;04 horas antes do exame: - Jejum absoluto.;"FAZEMOS EXAMES DE RESSONÂNCIA COM SEDAÇÃO EXCETO RESSONÂNCIA MAMAS, ABDOMEN E PELVE. * Paciente diabético e em uso de CLORIDRATO DE METFORMINA ou qualquer medicação que contenha METFORMINA: necessário suspender a medicação 48 horas antes e 48 horas após o exame e somente sob a supervisão do médico assistente do cliente; * Poderá tomar todos os outros medicamentos que usa, com pouca água (1/2 copo de água); * Paciente portador de insuficiência renal deve trazer exames de sangue recentes; se realizar diálise, não pode fazer uso do contraste; * Paciente lactante não deve amamentar durante 24 horas, após o exame; * Paciente não pode ter marca-passo, stent no vaso arterial, clips de aneurisma ou implantes em olhos ou ouvidos (com lente intra-ocular para catarata pode realizar o exame; com prótese de ouro na pálpebra, apenas se não for o local a ser avaliado, pois pode comprometer a qualidade da imagem e o técnico suspender o procedimento; com prótese de ouvido realiza ressonância apenas mediante carta do seu médico, no dia do exame, nos certificando que a prótese é de teflon), tatuagens e/ ou maquiagem definitiva recentes (menos de 90 dias), piercings entre outros tipos de materiais metálicos; Na área do exame não usar gel, laquê, creme hidratante, sabonete hidratante (tipo DOVE®), condicionador, maquiagem, entre outros. Aparelhos ortodônticos devem ser retirados para a realização do exame.";5;300;1
Tomografia Computadorizada;Angiotomografia da pelve;Angiotomografia é um exame de diagnóstico rápido que permite a perfeita visualização das veias e artérias do corpo (região pelve).;Nenhuma preparo disponível, por favor consulte um atendente para mais informações.;Nenhuma observação disponível.;5;250;1
Tomografia Computadorizada;Clavicula;Trata-se de exame de tomografia computadorizada da clavícula.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coccix;Trata-se de exame de tomografia computadorizada do coccix.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coluna Dorsal;Trata-se de exame de tomografia computadorizada da coluna dorsal.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
Tomografia Computadorizada;Coxa Direita;Trata-se de exame de tomografia computadorizada da coxa direita.;Não é necessário preparo para este exame.;- Levar no dia do exame, exames anteriores de Tomografia, Ressonância Magnética, Raio-X de crânio ou seios da face.;5;250;1
